threshold	alignment_size	SNPs
100	8750	286736
100	8500	294187
100	8250	303698
100	8000	312596
100	7750	321507
100	7500	331636
100	7250	340162
100	7000	347862
100	6750	359918
100	6500	368872
100	6250	377103
100	6000	386721
100	5750	401274
100	5500	413769
100	5250	429767
100	5000	441851
100	4750	463110
100	4500	475280
100	4250	501326
100	4000	526850
100	3750	541826
100	3500	564157
100	3250	595850
100	3000	616082
100	2750	650096
100	2500	675720
100	2250	704986
100	2000	751138
100	1750	811342
100	1500	863288
100	1250	958807
100	1000	1038811
100	750	1138653
100	500	1275862
100	250	1473604
100	100	1704157
100	75	1734458
100	50	1760951
100	25	1820207
100	10000	256345
100	9750	260188
100	9500	265647
100	9250	271403
100	9000	279024
100	8750	282742
100	8500	290188
100	8250	295541
100	8000	303719
100	7750	310654
100	7500	318967
100	7250	327584
100	7000	338077
100	6750	345724
100	6500	363018
100	6250	373765
100	6000	383654
100	5750	394600
100	5500	410634
100	5250	422692
100	5000	441865
100	4750	456499
100	4500	476820
100	4250	492815
100	4000	511351
100	3750	539879
100	3500	560436
100	3250	584142
100	3000	613332
100	2750	642841
100	2500	668166
100	2250	698930
100	2000	735734
100	1750	786244
100	1500	847404
100	1250	925409
100	1000	997794
100	750	1074913
100	500	1211238
100	250	1387419
100	100	1572482
100	75	1617632
100	50	1668214
100	25	1731799
100	10000	257899
100	9750	264263
100	9500	271812
100	9250	279012
100	9000	284526
100	8750	291255
100	8500	298240
100	8250	304004
100	8000	311159
100	7750	318598
100	7500	326324
100	7250	336111
100	7000	349291
100	6750	365990
100	6500	379308
100	6250	394185
100	6000	403064
100	5750	418087
100	5500	430496
100	5250	450840
100	5000	467011
100	4750	479915
100	4500	498398
100	4250	518302
100	4000	542242
100	3750	561494
100	3500	587374
100	3250	614944
100	3000	646332
100	2750	673235
100	2500	698350
100	2250	735958
100	2000	772088
100	1750	826311
100	1500	884040
100	1250	936332
100	1000	991766
100	750	1096398
100	500	1255955
100	250	1462994
100	100	1636305
100	75	1671056
100	50	1726059
100	25	1814564
100	10000	256134
100	9750	260223
100	9500	268814
100	9250	277573
100	9000	284664
100	8750	293954
100	8500	301189
100	8250	306851
100	8000	313623
100	7750	321048
100	7500	330721
100	7250	345426
100	7000	358884
100	6750	370137
100	6500	380818
100	6250	392450
100	6000	405637
100	5750	418950
100	5500	430088
100	5250	445971
100	5000	464803
100	4750	478487
100	4500	497088
100	4250	512075
100	4000	525421
100	3750	556055
100	3500	571115
100	3250	596884
100	3000	625454
100	2750	644610
100	2500	676174
100	2250	713994
100	2000	751523
100	1750	792152
100	1500	836284
100	1250	893221
100	1000	967190
100	750	1056662
100	500	1207933
100	250	1426327
100	100	1616260
100	75	1638765
100	50	1702270
100	25	1812455
100	10000	255855
100	9750	259888
100	9500	265808
100	9250	272577
100	9000	279092
100	8750	285101
100	8500	293617
100	8250	297404
100	8000	306016
100	7750	315097
100	7500	322551
100	7250	327247
100	7000	333234
100	6750	341324
100	6500	353187
100	6250	362877
100	6000	375267
100	5750	388089
100	5500	401537
100	5250	416444
100	5000	435807
100	4750	453725
100	4500	470608
100	4250	486491
100	4000	510872
100	3750	534644
100	3500	558836
100	3250	579020
100	3000	605906
100	2750	641434
100	2500	677746
100	2250	708375
100	2000	743671
100	1750	779771
100	1500	831367
100	1250	891505
100	1000	959507
100	750	1065351
100	500	1227750
100	250	1427462
100	100	1586097
100	75	1688483
100	50	1741603
100	25	1841345
100	10000	254068
100	9750	258742
100	9500	263610
100	9250	269289
100	9000	273460
100	8750	280747
100	8500	286366
100	8250	295098
100	8000	302577
100	7750	309541
100	7500	316698
100	7250	323196
100	7000	333453
100	6750	342097
100	6500	352082
100	6250	364105
100	6000	377120
100	5750	391658
100	5500	407144
100	5250	422533
100	5000	437070
100	4750	451761
100	4500	465588
100	4250	481859
100	4000	501991
100	3750	527203
100	3500	551871
100	3250	577672
100	3000	609023
100	2750	634164
100	2500	664090
100	2250	694328
100	2000	734720
100	1750	802217
100	1500	856610
100	1250	900656
100	1000	976093
100	750	1085485
100	500	1225246
100	250	1406463
100	100	1627336
100	75	1653333
100	50	1722145
100	25	1791296
100	10000	256642
100	9750	261646
100	9500	266470
100	9250	275819
100	9000	281835
100	8750	288108
100	8500	296709
100	8250	308039
100	8000	313551
100	7750	321463
