threshold	alignment_size	SNPs
100	3500	28467
100	3250	28997
100	3000	29393
100	2750	30511
100	2500	31606
100	2250	32048
100	2000	31570
100	1750	32651
100	1500	32887
100	1250	33190
100	1000	33065
100	750	31650
100	500	30032
100	250	26249
100	100	23556
100	75	22840
100	50	21958
100	25	18628
100	10000	19868
100	9750	19956
100	9500	20392
100	9250	20587
100	9000	20855
100	8750	21165
100	8500	21467
100	8250	21455
100	8000	21660
100	7750	21861
100	7500	22065
100	7250	22387
100	7000	22893
100	6750	23367
100	6500	23639
100	6250	24188
100	6000	24648
100	5750	24989
100	5500	25110
100	5250	25232
100	5000	25631
100	4750	25842
100	4500	26066
100	4250	26599
100	4000	27293
100	3750	28384
100	3500	28377
100	3250	28819
100	3000	29217
100	2750	30294
100	2500	31189
100	2250	32049
100	2000	33360
100	1750	33012
100	1500	32618
100	1250	32843
100	1000	33656
100	750	34830
100	500	33195
100	250	29792
100	100	24076
100	75	22963
100	50	20633
100	25	18958
100	10000	20021
100	9750	20367
100	9500	20773
100	9250	21178
100	9000	21440
100	8750	21609
100	8500	21872
100	8250	22051
100	8000	22279
100	7750	22603
100	7500	22961
100	7250	23262
100	7000	23710
100	6750	23850
100	6500	24205
100	6250	24613
100	6000	24882
100	5750	24875
100	5500	25059
100	5250	25378
100	5000	25835
100	4750	26012
100	4500	26512
100	4250	26969
100	4000	28095
100	3750	28638
100	3500	29426
100	3250	29834
100	3000	31154
100	2750	31289
100	2500	31716
100	2250	31036
100	2000	31686
100	1750	31750
100	1500	31415
100	1250	30700
100	1000	31412
100	750	33340
100	500	31135
100	250	28216
100	100	25685
100	75	23833
100	50	21893
100	25	20880
95	10000	169674
95	9750	167887
95	9500	166516
95	9250	165471
95	9000	163384
95	8750	161720
95	8500	159926
95	8250	158810
95	8000	156892
95	7750	155048
95	7500	153573
95	7250	151385
95	7000	149819
95	6750	147260
95	6500	145794
95	6250	143985
95	6000	141312
95	5750	139301
95	5500	137066
95	5250	134361
95	5000	132089
95	4750	129799
95	4500	128247
95	4250	124932
95	4000	121522
95	3750	118805
95	3500	114574
95	3250	110922
95	3000	107895
95	2750	102981
95	2500	99348
95	2250	95851
95	2000	90265
95	1750	85503
95	1500	80555
95	1250	75814
95	1000	70594
95	750	62297
95	500	51469
95	250	41191
