test	genome_count	replicate	tool	seconds	ram_kb	input_length	output_length	output_md5sum
invariant site removal	10000	2	goalign 1 thread	10050.91	77796268	4809037	68963	c089e22a9751869f7814920c161d092e
invariant site removal	10000	2	goalign 16 threads	9519.07	83937380	4809037	68963	c089e22a9751869f7814920c161d092e
95 core	10000	2	Core-SNP-Filter	12.14	3168	68963	64995	98ec4e494f111bde5fd6b27373a1afe4
95 core	10000	2	goalign 1 thread	68.72	4257064	68963	64995	98ec4e494f111bde5fd6b27373a1afe4
95 core	10000	2	goalign 16 threads	66.84	3606496	68963	64995	98ec4e494f111bde5fd6b27373a1afe4
95 core	10000	2	trimal	62.02	2268948	68963	64995	e6598ca75fdcf85d05b1acf4d03208e1
invariant site removal	10	3	Core-SNP-Filter	0.67	51752	4809037	1082	7b446afef31ea5bd02493a2ffad3b91f
invariant site removal	10	3	snp-sites	0.37	15852	4809037	1082	7b446afef31ea5bd02493a2ffad3b91f
invariant site removal	10	3	goalign 1 thread	4.82	340000	4809037	1082	7b446afef31ea5bd02493a2ffad3b91f
95 core	10	3	Core-SNP-Filter	0.00	2732	1082	954	438a7213be6818b479032ed27b0bbe8c
95 core	10	3	goalign 1 thread	0.00	10212	1082	954	438a7213be6818b479032ed27b0bbe8c
95 core	10	3	trimal	0.00	3624	1082	954	438a7213be6818b479032ed27b0bbe8c
invariant site removal	18	3	Core-SNP-Filter	0.96	51772	4809037	1698	3a202304311fa0297796d5c1c7f978f0
invariant site removal	18	3	snp-sites	0.63	15944	4809037	1698	3a202304311fa0297796d5c1c7f978f0
invariant site removal	18	3	goalign 1 thread	6.27	454652	4809037	1698	3a202304311fa0297796d5c1c7f978f0
95 core	18	3	Core-SNP-Filter	0.00	2692	1698	1465	6e88ee5537abe0f5ad6d93aee05956d9
95 core	18	3	goalign 1 thread	0.00	13372	1698	1465	6e88ee5537abe0f5ad6d93aee05956d9
95 core	18	3	trimal	0.00	3684	1698	1465	6e88ee5537abe0f5ad6d93aee05956d9
invariant site removal	32	3	Core-SNP-Filter	1.66	51892	4809037	2568	11eaa1b458bae5c5bc07db2ff032adfb
invariant site removal	32	3	snp-sites	1.12	15928	4809037	2568	11eaa1b458bae5c5bc07db2ff032adfb
invariant site removal	32	3	goalign 1 thread	9.05	632756	4809037	2568	11eaa1b458bae5c5bc07db2ff032adfb
95 core	32	3	Core-SNP-Filter	0.00	2632	2568	2221	ce6f1ba08968cadde4e7f22853d5c490
95 core	32	3	goalign 1 thread	0.00	11728	2568	2221	ce6f1ba08968cadde4e7f22853d5c490
95 core	32	3	trimal	0.00	3940	2568	2221	79e0634f63c96258385d628fb6165944
invariant site removal	56	3	Core-SNP-Filter	2.85	50284	4809037	3095	d5be966dc42fa945c480722fc95a8b88
invariant site removal	56	3	snp-sites	1.96	17688	4809037	3095	d5be966dc42fa945c480722fc95a8b88
invariant site removal	56	3	goalign 1 thread	12.81	866388	4809037	3095	d5be966dc42fa945c480722fc95a8b88
95 core	56	3	Core-SNP-Filter	0.00	2636	3095	2517	f8a60d5af49d01f6ba41a5826393db06
95 core	56	3	goalign 1 thread	0.01	12104	3095	2517	f8a60d5af49d01f6ba41a5826393db06
95 core	56	3	trimal	0.01	4256	3095	2517	dd40d658cd86d95a3501f5d018b4b87a
invariant site removal	100	3	Core-SNP-Filter	4.99	51220	4809037	3844	71a4ae61417b997d305142ef182fcb21
