test	genome_count	replicate	tool	seconds	ram_kb	input_length	output_length	output_md5sum
invariant site removal	10000	6	goalign 1 thread	8459.85	77695740	4809037	68963	c089e22a9751869f7814920c161d092e
95 core	10000	6	Core-SNP-Filter	8.18	3308	68963	64995	98ec4e494f111bde5fd6b27373a1afe4
95 core	10000	6	goalign 1 thread	58.90	4230288	68963	64995	98ec4e494f111bde5fd6b27373a1afe4
95 core	10000	6	trimal	61.74	2268852	68963	64995	e6598ca75fdcf85d05b1acf4d03208e1
invariant site removal	10	7	Core-SNP-Filter	0.57	51820	4809037	1082	7b446afef31ea5bd02493a2ffad3b91f
invariant site removal	10	7	snp-sites	0.38	16084	4809037	1082	7b446afef31ea5bd02493a2ffad3b91f
invariant site removal	10	7	goalign 1 thread	4.74	381704	4809037	1082	7b446afef31ea5bd02493a2ffad3b91f
95 core	10	7	Core-SNP-Filter	0.01	2628	1082	954	438a7213be6818b479032ed27b0bbe8c
95 core	10	7	goalign 1 thread	0.00	11112	1082	954	438a7213be6818b479032ed27b0bbe8c
95 core	10	7	trimal	0.03	3708	1082	954	438a7213be6818b479032ed27b0bbe8c
invariant site removal	18	7	Core-SNP-Filter	0.96	52580	4809037	1698	3a202304311fa0297796d5c1c7f978f0
invariant site removal	18	7	snp-sites	0.68	15940	4809037	1698	3a202304311fa0297796d5c1c7f978f0
invariant site removal	18	7	goalign 1 thread	6.22	488960	4809037	1698	3a202304311fa0297796d5c1c7f978f0
95 core	18	7	Core-SNP-Filter	0.00	2748	1698	1465	6e88ee5537abe0f5ad6d93aee05956d9
95 core	18	7	goalign 1 thread	0.00	11160	1698	1465	6e88ee5537abe0f5ad6d93aee05956d9
95 core	18	7	trimal	0.00	3716	1698	1465	6e88ee5537abe0f5ad6d93aee05956d9
invariant site removal	32	7	Core-SNP-Filter	1.64	52260	4809037	2568	11eaa1b458bae5c5bc07db2ff032adfb
invariant site removal	32	7	snp-sites	1.09	17932	4809037	2568	11eaa1b458bae5c5bc07db2ff032adfb
invariant site removal	32	7	goalign 1 thread	9.11	616708	4809037	2568	11eaa1b458bae5c5bc07db2ff032adfb
95 core	32	7	Core-SNP-Filter	0.00	2704	2568	2221	ce6f1ba08968cadde4e7f22853d5c490
95 core	32	7	goalign 1 thread	0.01	13220	2568	2221	ce6f1ba08968cadde4e7f22853d5c490
95 core	32	7	trimal	0.00	3888	2568	2221	79e0634f63c96258385d628fb6165944
invariant site removal	56	7	Core-SNP-Filter	2.80	53048	4809037	3095	d5be966dc42fa945c480722fc95a8b88
invariant site removal	56	7	snp-sites	1.89	16024	4809037	3095	d5be966dc42fa945c480722fc95a8b88
invariant site removal	56	7	goalign 1 thread	13.90	866900	4809037	3095	d5be966dc42fa945c480722fc95a8b88
95 core	56	7	Core-SNP-Filter	0.01	2652	3095	2517	f8a60d5af49d01f6ba41a5826393db06
95 core	56	7	goalign 1 thread	0.01	14668	3095	2517	f8a60d5af49d01f6ba41a5826393db06
95 core	56	7	trimal	0.01	4172	3095	2517	dd40d658cd86d95a3501f5d018b4b87a
invariant site removal	100	7	Core-SNP-Filter	4.93	51748	4809037	3844	71a4ae61417b997d305142ef182fcb21
invariant site removal	100	7	snp-sites	3.99	18332	4809037	3844	71a4ae61417b997d305142ef182fcb21
invariant site removal	100	7	goalign 1 thread	22.24	1219344	4809037	3844	71a4ae61417b997d305142ef182fcb21
95 core	100	7	Core-SNP-Filter	0.01	2704	3844	3272	055cc1a61d617ccae2834dcd4c1da474
95 core	100	7	goalign 1 thread	0.02	16228	3844	3272	055cc1a61d617ccae2834dcd4c1da474
95 core	100	7	trimal	0.03	4468	3844	3272	e192d7b242d17c4c9fce3f774c70e21e
invariant site removal	180	7	Core-SNP-Filter	8.89	50232	4809037	6139	7b30838cc901ee7f65a8df0a02a05f8a
invariant site removal	180	7	snp-sites	6.55	16256	4809037	6139	7b30838cc901ee7f65a8df0a02a05f8a
invariant site removal	180	7	goalign 1 thread	38.45	1749464	4809037	6139	7b30838cc901ee7f65a8df0a02a05f8a
95 core	180	7	Core-SNP-Filter	0.01	2692	6139	5168	e18ec7bc541fe6350691cd44073231b5
95 core	180	7	goalign 1 thread	0.04	22768	6139	5168	e18ec7bc541fe6350691cd44073231b5
95 core	180	7	trimal	0.09	7092	6139	5168	4248309c6d16906399e55771b99e8236
invariant site removal	320	7	Core-SNP-Filter	16.86	50636	4809037	8048	76654901e7c67f887513487295bf7e3a
invariant site removal	320	7	snp-sites	11.21	16756	4809037	8048	76654901e7c67f887513487295bf7e3a
invariant site removal	320	7	goalign 1 thread	67.40	2938760	4809037	8048	76654901e7c67f887513487295bf7e3a
95 core	320	7	Core-SNP-Filter	0.04	2736	8048	6688	b8b8d20dfbb15e31e18e630938e5bcb9
95 core	320	7	goalign 1 thread	0.10	28548	8048	6688	b8b8d20dfbb15e31e18e630938e5bcb9
95 core	320	7	trimal	0.19	10728	8048	6688	7c4d019b311f83a9b4d9293af401758a
invariant site removal	560	7	Core-SNP-Filter	36.95	51904	4809037	14655	8b977e1d6f484f8a5262dfd045261bc2
invariant site removal	560	7	snp-sites	20.14	21916	4809037	14655	8b977e1d6f484f8a5262dfd045261bc2
invariant site removal	560	7	goalign 1 thread	130.36	5055928	4809037	14655	8b977e1d6f484f8a5262dfd045261bc2
95 core	560	7	Core-SNP-Filter	0.10	2748	14655	13055	907bf509f0e0aaa8817ede8e54538031
95 core	560	7	goalign 1 thread	0.30	44604	14655	13055	907bf509f0e0aaa8817ede8e54538031
95 core	560	7	trimal	0.63	27264	14655	13055	4098ac228356b616467a9753e1030402
invariant site removal	1000	7	Core-SNP-Filter	57.09	53056	4809037	26123	116520f8d6297c405e49b72915620b20
invariant site removal	1000	7	snp-sites	34.84	42584	4809037	26123	116520f8d6297c405e49b72915620b20
invariant site removal	1000	7	goalign 1 thread	242.54	8032844	4809037	26123	116520f8d6297c405e49b72915620b20
95 core	1000	7	Core-SNP-Filter	0.29	2632	26123	23679	3f0ccd0908ec02052e35fb335bcb9ab8
95 core	1000	7	goalign 1 thread	1.01	162672	26123	23679	3f0ccd0908ec02052e35fb335bcb9ab8
95 core	1000	7	trimal	2.04	82200	26123	23679	ef5b537ec930a220415ed7bd60af28be
invariant site removal	1800	7	Core-SNP-Filter	106.24	51284	4809037	28785	bdefcb13ac59b22a276da2614ebe0b1d
invariant site removal	1800	7	snp-sites	64.44	69728	4809037	28785	bdefcb13ac59b22a276da2614ebe0b1d
invariant site removal	1800	7	goalign 1 thread	461.33	14597600	4809037	28785	bdefcb13ac59b22a276da2614ebe0b1d
95 core	1800	7	Core-SNP-Filter	0.59	2636	28785	26409	383dca7de100c82c895c2af15595db13
95 core	1800	7	goalign 1 thread	2.16	313560	28785	26409	383dca7de100c82c895c2af15595db13
95 core	1800	7	trimal	4.04	155580	28785	26409	0a6d74d18a27ad805b3314bd5700abd3
invariant site removal	3200	7	Core-SNP-Filter	280.30	51056	4809037	39768	9e7695cea5ba11409cbcadc2517b5c4e
invariant site removal	3200	7	snp-sites	163.11	143272	4809037	39768	9e7695cea5ba11409cbcadc2517b5c4e
invariant site removal	3200	7	goalign 1 thread	1112.61	26847556	4809037	39768	9e7695cea5ba11409cbcadc2517b5c4e
95 core	3200	7	Core-SNP-Filter	1.42	2908	39768	36646	43eeb222e0fa10d3310d5bbde923ab2c
95 core	3200	7	goalign 1 thread	10.53	665628	39768	36646	43eeb222e0fa10d3310d5bbde923ab2c
95 core	3200	7	trimal	10.52	410128	39768	36646	c65720a3ae9281d5dbe9f627e4b83329
invariant site removal	5600	7	Core-SNP-Filter	391.31	53212	4809037	53786	950810bd939d03607f7e68b99fe1b151
invariant site removal	5600	7	snp-sites	203.02	320960	4809037	53786	950810bd939d03607f7e68b99fe1b151
invariant site removal	5600	7	goalign 1 thread	3627.98	43447380	4809037	53786	950810bd939d03607f7e68b99fe1b151
95 core	5600	7	Core-SNP-Filter	3.63	3200	53786	50163	4508f91d1905c95bdac58cb70267f0bf
95 core	5600	7	goalign 1 thread	26.42	2030768	53786	50163	4508f91d1905c95bdac58cb70267f0bf
95 core	5600	7	trimal	26.28	903468	53786	50163	ccbe2e336e37aca797015bcab2bb7068
invariant site removal	10000	7	Core-SNP-Filter	605.11	51248	4809037	68963	c089e22a9751869f7814920c161d092e
invariant site removal	10000	7	snp-sites	368.70	709108	4809037	68963	c089e22a9751869f7814920c161d092e
invariant site removal	10000	7	goalign 1 thread	8401.99	77877212	4809037	68963	c089e22a9751869f7814920c161d092e
95 core	10000	7	Core-SNP-Filter	17.97	3152	68963	64995	98ec4e494f111bde5fd6b27373a1afe4
95 core	10000	7	goalign 1 thread	59.84	3938504	68963	64995	98ec4e494f111bde5fd6b27373a1afe4
95 core	10000	7	trimal	62.49	2268748	68963	64995	e6598ca75fdcf85d05b1acf4d03208e1
invariant site removal	10	8	Core-SNP-Filter	0.58	51260	4809037	1082	7b446afef31ea5bd02493a2ffad3b91f
invariant site removal	10	8	snp-sites	0.36	16036	4809037	1082	7b446afef31ea5bd02493a2ffad3b91f
invariant site removal	10	8	goalign 1 thread	4.82	361036	4809037	1082	7b446afef31ea5bd02493a2ffad3b91f
95 core	10	8	Core-SNP-Filter	0.00	2640	1082	954	438a7213be6818b479032ed27b0bbe8c
95 core	10	8	goalign 1 thread	0.00	11104	1082	954	438a7213be6818b479032ed27b0bbe8c
95 core	10	8	trimal	0.00	3556	1082	954	438a7213be6818b479032ed27b0bbe8c
invariant site removal	18	8	Core-SNP-Filter	0.96	51508	4809037	1698	3a202304311fa0297796d5c1c7f978f0
invariant site removal	18	8	snp-sites	0.60	16044	4809037	1698	3a202304311fa0297796d5c1c7f978f0
invariant site removal	18	8	goalign 1 thread	6.30	490348	4809037	1698	3a202304311fa0297796d5c1c7f978f0
95 core	18	8	Core-SNP-Filter	0.00	2656	1698	1465	6e88ee5537abe0f5ad6d93aee05956d9
95 core	18	8	goalign 1 thread	0.00	13176	1698	1465	6e88ee5537abe0f5ad6d93aee05956d9
95 core	18	8	trimal	0.00	3680	1698	1465	6e88ee5537abe0f5ad6d93aee05956d9
invariant site removal	32	8	Core-SNP-Filter	1.66	50376	4809037	2568	11eaa1b458bae5c5bc07db2ff032adfb
invariant site removal	32	8	snp-sites	1.17	16084	4809037	2568	11eaa1b458bae5c5bc07db2ff032adfb
invariant site removal	32	8	goalign 1 thread	9.08	632728	4809037	2568	11eaa1b458bae5c5bc07db2ff032adfb
95 core	32	8	Core-SNP-Filter	0.00	2640	2568	2221	ce6f1ba08968cadde4e7f22853d5c490
95 core	32	8	goalign 1 thread	0.01	13220	2568	2221	ce6f1ba08968cadde4e7f22853d5c490
95 core	32	8	trimal	0.00	3828	2568	2221	79e0634f63c96258385d628fb6165944
invariant site removal	56	8	Core-SNP-Filter	2.80	52152	4809037	3095	d5be966dc42fa945c480722fc95a8b88
invariant site removal	56	8	snp-sites	2.04	16080	4809037	3095	d5be966dc42fa945c480722fc95a8b88
invariant site removal	56	8	goalign 1 thread	13.83	869520	4809037	3095	d5be966dc42fa945c480722fc95a8b88
95 core	56	8	Core-SNP-Filter	0.00	2580	3095	2517	f8a60d5af49d01f6ba41a5826393db06
95 core	56	8	goalign 1 thread	0.01	13240	3095	2517	f8a60d5af49d01f6ba41a5826393db06
95 core	56	8	trimal	0.01	4200	3095	2517	dd40d658cd86d95a3501f5d018b4b87a
invariant site removal	100	8	Core-SNP-Filter	4.91	51584	4809037	3844	71a4ae61417b997d305142ef182fcb21
invariant site removal	100	8	snp-sites	3.57	16244	4809037	3844	71a4ae61417b997d305142ef182fcb21
invariant site removal	100	8	goalign 1 thread	22.37	1215240	4809037	3844	71a4ae61417b997d305142ef182fcb21
95 core	100	8	Core-SNP-Filter	0.03	2712	3844	3272	055cc1a61d617ccae2834dcd4c1da474
95 core	100	8	goalign 1 thread	0.02	15468	3844	3272	055cc1a61d617ccae2834dcd4c1da474
95 core	100	8	trimal	0.03	4500	3844	3272	e192d7b242d17c4c9fce3f774c70e21e
invariant site removal	180	8	Core-SNP-Filter	8.77	50244	4809037	6139	7b30838cc901ee7f65a8df0a02a05f8a
invariant site removal	180	8	snp-sites	6.35	16180	4809037	6139	7b30838cc901ee7f65a8df0a02a05f8a
invariant site removal	180	8	goalign 1 thread	37.19	1790932	4809037	6139	7b30838cc901ee7f65a8df0a02a05f8a
95 core	180	8	Core-SNP-Filter	0.02	2700	6139	5168	e18ec7bc541fe6350691cd44073231b5
95 core	180	8	goalign 1 thread	0.05	22824	6139	5168	e18ec7bc541fe6350691cd44073231b5
95 core	180	8	trimal	0.08	7136	6139	5168	4248309c6d16906399e55771b99e8236
invariant site removal	320	8	Core-SNP-Filter	15.59	52888	4809037	8048	76654901e7c67f887513487295bf7e3a
invariant site removal	320	8	snp-sites	11.34	18332	4809037	8048	76654901e7c67f887513487295bf7e3a
invariant site removal	320	8	goalign 1 thread	65.10	2938696	4809037	8048	76654901e7c67f887513487295bf7e3a
95 core	320	8	Core-SNP-Filter	0.05	2736	8048	6688	b8b8d20dfbb15e31e18e630938e5bcb9
95 core	320	8	goalign 1 thread	0.10	31236	8048	6688	b8b8d20dfbb15e31e18e630938e5bcb9
95 core	320	8	trimal	0.20	10656	8048	6688	7c4d019b311f83a9b4d9293af401758a
invariant site removal	560	8	Core-SNP-Filter	29.48	52892	4809037	14655	8b977e1d6f484f8a5262dfd045261bc2
invariant site removal	560	8	snp-sites	18.75	22724	4809037	14655	8b977e1d6f484f8a5262dfd045261bc2
invariant site removal	560	8	goalign 1 thread	201.67	4787980	4809037	14655	8b977e1d6f484f8a5262dfd045261bc2
95 core	560	8	Core-SNP-Filter	0.10	2708	14655	13055	907bf509f0e0aaa8817ede8e54538031
95 core	560	8	goalign 1 thread	0.30	60416	14655	13055	907bf509f0e0aaa8817ede8e54538031
95 core	560	8	trimal	0.63	27220	14655	13055	4098ac228356b616467a9753e1030402
invariant site removal	1000	8	Core-SNP-Filter	60.42	52512	4809037	26123	116520f8d6297c405e49b72915620b20
invariant site removal	1000	8	snp-sites	36.55	42788	4809037	26123	116520f8d6297c405e49b72915620b20
invariant site removal	1000	8	goalign 1 thread	554.09	7825500	4809037	26123	116520f8d6297c405e49b72915620b20
95 core	1000	8	Core-SNP-Filter	0.82	2652	26123	23679	3f0ccd0908ec02052e35fb335bcb9ab8
95 core	1000	8	goalign 1 thread	1.00	160752	26123	23679	3f0ccd0908ec02052e35fb335bcb9ab8
95 core	1000	8	trimal	2.05	82016	26123	23679	ef5b537ec930a220415ed7bd60af28be
invariant site removal	1800	8	Core-SNP-Filter	97.14	52452	4809037	28785	bdefcb13ac59b22a276da2614ebe0b1d
invariant site removal	1800	8	snp-sites	62.13	69648	4809037	28785	bdefcb13ac59b22a276da2614ebe0b1d
invariant site removal	1800	8	goalign 1 thread	882.06	14299200	4809037	28785	bdefcb13ac59b22a276da2614ebe0b1d
95 core	1800	8	Core-SNP-Filter	0.85	2628	28785	26409	383dca7de100c82c895c2af15595db13
95 core	1800	8	goalign 1 thread	3.58	309116	28785	26409	383dca7de100c82c895c2af15595db13
95 core	1800	8	trimal	3.99	155648	28785	26409	0a6d74d18a27ad805b3314bd5700abd3
invariant site removal	3200	8	Core-SNP-Filter	190.33	53212	4809037	39768	9e7695cea5ba11409cbcadc2517b5c4e
invariant site removal	3200	8	snp-sites	115.72	146352	4809037	39768	9e7695cea5ba11409cbcadc2517b5c4e
invariant site removal	3200	8	goalign 1 thread	1142.85	25445188	4809037	39768	9e7695cea5ba11409cbcadc2517b5c4e
95 core	3200	8	Core-SNP-Filter	1.56	2856	39768	36646	43eeb222e0fa10d3310d5bbde923ab2c
95 core	3200	8	goalign 1 thread	7.02	583668	39768	36646	43eeb222e0fa10d3310d5bbde923ab2c
95 core	3200	8	trimal	10.61	410076	39768	36646	c65720a3ae9281d5dbe9f627e4b83329
invariant site removal	5600	8	Core-SNP-Filter	287.62	51788	4809037	53786	950810bd939d03607f7e68b99fe1b151
invariant site removal	5600	8	snp-sites	212.68	318320	4809037	53786	950810bd939d03607f7e68b99fe1b151
invariant site removal	5600	8	goalign 1 thread	3955.98	43524740	4809037	53786	950810bd939d03607f7e68b99fe1b151
95 core	5600	8	Core-SNP-Filter	3.48	2984	53786	50163	4508f91d1905c95bdac58cb70267f0bf
95 core	5600	8	goalign 1 thread	27.62	2040920	53786	50163	4508f91d1905c95bdac58cb70267f0bf
95 core	5600	8	trimal	26.37	903456	53786	50163	ccbe2e336e37aca797015bcab2bb7068
invariant site removal	10000	8	Core-SNP-Filter	502.35	50884	4809037	68963	c089e22a9751869f7814920c161d092e
invariant site removal	10000	8	snp-sites	352.12	709052	4809037	68963	c089e22a9751869f7814920c161d092e
invariant site removal	10000	8	goalign 1 thread	10135.85	77931652	4809037	68963	c089e22a9751869f7814920c161d092e
95 core	10000	8	Core-SNP-Filter	17.77	3232	68963	64995	98ec4e494f111bde5fd6b27373a1afe4
95 core	10000	8	goalign 1 thread	68.74	3848028	68963	64995	98ec4e494f111bde5fd6b27373a1afe4
95 core	10000	8	trimal	62.39	2268804	68963	64995	e6598ca75fdcf85d05b1acf4d03208e1
