threshold	alignment_size	SNPs
95	10000	4634656
95	9750	4634784
95	9500	4634750
95	9250	4634855
95	9000	4634741
95	8750	4634762
95	8500	4634849
95	8250	4634673
95	8000	4634710
95	7750	4634550
95	7500	4634730
95	7250	4634773
95	7000	4634628
95	6750	4634664
95	6500	4634805
95	6250	4635063
95	6000	4635402
95	5750	4635541
95	5500	4635465
95	5250	4635879
95	5000	4635928
95	4750	4635946
95	4500	4636386
95	4250	4636365
95	4000	4636354
95	3750	4635718
95	3500	4635621
95	3250	4635554
95	3000	4635539
95	2750	4635671
95	2500	4636119
95	2250	4636180
95	2000	4636790
95	1750	4635186
95	1500	4635180
95	1250	4634222
95	1000	4634948
95	750	4634657
95	500	4638226
95	250	4618066
95	100	4622785
95	75	4607777
95	50	4601440
95	25	4578207
95	10000	4634802
95	9750	4634391
95	9500	4634295
95	9250	4634368
95	9000	4634363
95	8750	4634371
95	8500	4634499
95	8250	4634467
95	8000	4634682
95	7750	4634123
95	7500	4634621
95	7250	4634801
95	7000	4635161
95	6750	4634845
95	6500	4634821
95	6250	4634594
95	6000	4634916
95	5750	4635293
95	5500	4635638
95	5250	4635592
95	5000	4635670
95	4750	4635301
95	4500	4635195
95	4250	4635224
95	4000	4634646
95	3750	4634071
95	3500	4634390
95	3250	4633735
95	3000	4633065
95	2750	4633164
95	2500	4632998
95	2250	4632442
95	2000	4631586
95	1750	4631422
95	1500	4630974
95	1250	4631430
95	1000	4629756
95	750	4625242
95	500	4626716
95	250	4615357
95	100	4625095
95	75	4587122
95	50	4628408
95	25	4636475
95	10000	4634861
95	9750	4634895
95	9500	4635088
95	9250	4635021
95	9000	4635187
95	8750	4635459
95	8500	4635570
95	8250	4635665
95	8000	4635591
95	7750	4635336
95	7500	4635161
95	7250	4634965
95	7000	4634972
95	6750	4634955
95	6500	4634803
95	6250	4634585
95	6000	4634909
95	5750	4634684
95	5500	4634929
95	5250	4634824
95	5000	4634500
95	4750	4634152
95	4500	4634521
95	4250	4634666
95	4000	4634794
95	3750	4634027
95	3500	4634251
95	3250	4633886
95	3000	4633738
95	2750	4633800
95	2500	4633551
95	2250	4633315
95	2000	4635358
95	1750	4634627
95	1500	4635396
95	1250	4634961
95	1000	4636796
95	750	4635717
95	500	4631135
95	250	4605039
95	100	4619043
95	75	4620114
95	50	4627309
95	25	4633335
95	10000	4634818
95	9750	4634826
95	9500	4635030
95	9250	4635136
95	9000	4635239
95	8750	4635131
95	8500	4635283
95	8250	4635227
95	8000	4635193
95	7750	4635015
95	7500	4635495
95	7250	4635451
95	7000	4635315
95	6750	4635096
95	6500	4635201
95	6250	4635085
95	6000	4635512
95	5750	4635761
95	5500	4635319
95	5250	4635046
95	5000	4635014
95	4750	4634701
95	4500	4634877
95	4250	4635058
95	4000	4635997
95	3750	4636251
95	3500	4636315
95	3250	4636156
95	3000	4636173
95	2750	4635557
95	2500	4635918
95	2250	4635477
95	2000	4634589
95	1750	4629994
95	1500	4626965
95	1250	4626469
95	1000	4617379
95	750	4631448
95	500	4628951
95	250	4623954
95	100	4609535
95	75	4620117
95	50	4617851
95	25	4624059
95	10000	4634915
95	9750	4634822
95	9500	4634824
95	9250	4634867
95	9000	4634900
95	8750	4634972
95	8500	4634896
95	8250	4634909
95	8000	4634920
95	7750	4634843
95	7500	4634586
95	7250	4634156
95	7000	4634550
95	6750	4634332
95	6500	4634892
95	6250	4634395
95	6000	4634358
95	5750	4634358
95	5500	4633966
95	5250	4634103
95	5000	4633896
95	4750	4634341
95	4500	4634620
95	4250	4633662
95	4000	4633548
95	3750	4633113
95	3500	4633878
95	3250	4633552
95	3000	4633305
95	2750	4634351
95	2500	4634181
95	2250	4633273
95	2000	4633572
95	1750	4632404
95	1500	4631753
95	1250	4627687
95	1000	4628616
95	750	4630420
95	500	4631209
95	250	4627406
95	100	4625790
95	75	4600907
95	50	4566658
95	25	4596865
80	10000	4657019
80	9750	4657019
80	9500	4657022
80	9250	4657022
80	9000	4657014
80	8750	4657014
80	8500	4657012
80	8250	4657008
80	8000	4657004
80	7750	4657000
80	7500	4656999
80	7250	4656993
80	7000	4656988
80	6750	4656971
80	6500	4656985
80	6250	4656976
80	6000	4656997
80	5750	4657009
80	5500	4657030
80	5250	4657027
80	5000	4657013
80	4750	4657016
80	4500	4656997
80	4250	4657022
80	4000	4657014
80	3750	4657034
80	3500	4657056
80	3250	4657032
80	3000	4657044
80	2750	4657041
80	2500	4657052
80	2250	4657037
80	2000	4657044
80	1750	4656983
80	1500	4657006
80	1250	4657065
80	1000	4657036
80	750	4656940
80	500	4657014
80	250	4657145
80	100	4657248
80	75	4657131
80	50	4657322
80	25	4656633
80	10000	4657032
80	9750	4657027
80	9500	4657022
80	9250	4657019
80	9000	4657023
80	8750	4657033
80	8500	4657034
80	8250	4657020
80	8000	4657021
80	7750	4657029
80	7500	4657031
80	7250	4657028
80	7000	4657031
80	6750	4657031
80	6500	4657032
80	6250	4657034
80	6000	4657030
80	5750	4657031
80	5500	4657031
80	5250	4657038
80	5000	4657037
80	4750	4657049
80	4500	4657057
80	4250	4657043
80	4000	4657043
80	3750	4657026
80	3500	4657033
80	3250	4657061
80	3000	4657048
80	2750	4657031
80	2500	4657045
80	2250	4657031
80	2000	4657057
80	1750	4657054
80	1500	4657044
80	1250	4657069
80	1000	4657087
80	750	4657032
80	500	4656964
80	250	4656890
80	100	4656862
80	75	4657068
80	50	4657408
80	25	4658191
80	10000	4657027
80	9750	4657030
80	9500	4657042
80	9250	4657049
80	9000	4657054
80	8750	4657051
80	8500	4657040
80	8250	4657030
80	8000	4657028
80	7750	4657017
80	7500	4657023
80	7250	4657025
80	7000	4657021
80	6750	4657026
80	6500	4657038
80	6250	4657044
80	6000	4657045
80	5750	4657043
80	5500	4657057
80	5250	4657056
80	5000	4657037
80	4750	4657036
80	4500	4657031
80	4250	4657022
80	4000	4657010
80	3750	4657015
80	3500	4657026
80	3250	4657004
80	3000	4656986
80	2750	4656986
80	2500	4657002
80	2250	4657041
80	2000	4657045
80	1750	4657065
80	1500	4657114
80	1250	4657140
80	1000	4657070
80	750	4657034
80	500	4656889
80	250	4656836
80	100	4656688
80	75	4656449
80	50	4656165
80	25	4655610
80	10000	4657028
80	9750	4657028
80	9500	4657049
80	9250	4657048
80	9000	4657046
80	8750	4657040
80	8500	4657032
80	8250	4657041
80	8000	4657037
80	7750	4657050
80	7500	4657051
80	7250	4657038
80	7000	4657023
80	6750	4657022
80	6500	4657020
80	6250	4657038
80	6000	4657043
80	5750	4657048
80	5500	4657047
80	5250	4657058
80	5000	4657069
80	4750	4657080
80	4500	4657058
80	4250	4657051
80	4000	4657054
80	3750	4657089
80	3500	4657056
80	3250	4657063
