threshold	alignment_size	SNPs
100	100	2934
100	75	2667
100	50	2238
100	25	1388
100	10000	6296
100	9750	6420
100	9500	6437
100	9250	6513
100	9000	6633
100	8750	6839
100	8500	7045
100	8250	7095
100	8000	7499
100	7750	7669
100	7500	7527
100	7250	7804
100	7000	7788
100	6750	7761
100	6500	7908
100	6250	8179
100	6000	8410
100	5750	8684
100	5500	9123
100	5250	9444
100	5000	9323
100	4750	9510
100	4500	9694
100	4250	9661
100	4000	9848
100	3750	9990
100	3500	10504
100	3250	10725
100	3000	10911
100	2750	11603
100	2500	11534
100	2250	11439
100	2000	11397
100	1750	10956
100	1500	10779
100	1250	10389
100	1000	9816
100	750	9020
100	500	7956
100	250	5863
100	100	4168
100	75	3743
100	50	2714
100	25	2288
100	10000	6536
100	9750	6651
100	9500	6728
100	9250	6918
100	9000	6952
100	8750	7062
100	8500	7242
100	8250	7240
100	8000	7281
100	7750	7316
100	7500	7389
100	7250	7481
100	7000	7606
100	6750	7619
100	6500	7583
100	6250	7780
100	6000	7873
100	5750	7929
100	5500	7875
100	5250	7965
100	5000	7994
100	4750	8157
100	4500	8242
100	4250	8251
100	4000	8287
100	3750	8200
100	3500	8104
100	3250	7904
100	3000	7886
100	2750	7851
100	2500	8593
100	2250	8743
100	2000	8634
100	1750	8721
100	1500	8850
100	1250	8618
100	1000	8183
100	750	7400
100	500	6426
100	250	4944
100	100	3401
100	75	3092
100	50	2300
100	25	1282
100	10000	6304
100	9750	6306
100	9500	6469
100	9250	6499
100	9000	6772
100	8750	6949
100	8500	7039
100	8250	7272
100	8000	7369
100	7750	7559
100	7500	7921
100	7250	8040
100	7000	8105
100	6750	8244
100	6500	8337
100	6250	8405
100	6000	9006
100	5750	9269
100	5500	9388
100	5250	9467
100	5000	9772
100	4750	9798
100	4500	9807
100	4250	9796
100	4000	9979
100	3750	10024
100	3500	10029
100	3250	10177
100	3000	10185
100	2750	10126
100	2500	9900
100	2250	9946
100	2000	9630
100	1750	9676
100	1500	9539
100	1250	8587
100	1000	8066
100	750	7440
100	500	6823
100	250	5287
100	100	3968
100	75	3480
100	50	2537
100	25	1988
100	10000	6365
100	9750	6352
100	9500	6516
100	9250	6540
100	9000	6620
100	8750	6696
100	8500	6830
100	8250	6924
100	8000	6998
100	7750	7024
100	7500	7399
100	7250	7543
100	7000	7735
100	6750	7829
100	6500	8042
100	6250	7923
100	6000	8041
100	5750	8315
100	5500	8356
100	5250	8792
100	5000	8778
100	4750	8893
100	4500	8936
100	4250	8925
100	4000	9121
100	3750	9144
100	3500	9386
100	3250	9455
100	3000	9261
100	2750	9832
100	2500	9714
100	2250	9430
100	2000	9439
100	1750	9619
100	1500	9663
100	1250	8786
100	1000	7892
100	750	7363
100	500	5925
100	250	4657
100	100	3354
100	75	3105
100	50	2432
100	25	1404
100	10000	6459
100	9750	6799
100	9500	6879
100	9250	7036
100	9000	7004
100	8750	7062
100	8500	7331
100	8250	7510
100	8000	7686
100	7750	7793
100	7500	8103
100	7250	8345
100	7000	8445
100	6750	8698
100	6500	9085
100	6250	9170
100	6000	9586
100	5750	9763
100	5500	9901
100	5250	10397
100	5000	10305
100	4750	10189
100	4500	10568
100	4250	10608
100	4000	10640
100	3750	10610
100	3500	10648
100	3250	10402
100	3000	10649
100	2750	10663
100	2500	10778
100	2250	10655
100	2000	10383
100	1750	10682
100	1500	10313
100	1250	10264
100	1000	9953
100	750	9194
100	500	7696
100	250	5550
100	100	3469
100	75	3047
100	50	2745
100	25	1991
100	10000	6432
100	9750	6551
100	9500	6616
100	9250	6709
100	9000	6749
100	8750	6746
100	8500	6813
100	8250	7175
100	8000	7317
100	7750	7401
100	7500	7473
100	7250	7562
100	7000	7850
100	6750	8140
100	6500	8344
100	6250	8511
100	6000	8544
100	5750	8723
100	5500	8896
100	5250	9494
100	5000	9510
100	4750	9592
100	4500	9486
100	4250	9443
100	4000	9451
100	3750	9437
100	3500	9583
100	3250	9460
100	3000	9788
100	2750	10275
100	2500	10048
100	2250	9780
100	2000	9553
100	1750	9496
100	1500	9083
100	1250	8784
100	1000	8068
100	750	6673
100	500	5787
100	250	4369
100	100	2795
100	75	2452
100	50	2233
100	25	1158
100	10000	6494
100	9750	6799
100	9500	6999
100	9250	7072
100	9000	7198
100	8750	7276
100	8500	7388
100	8250	7476
100	8000	7703
100	7750	7877
100	7500	7932
100	7250	7982
100	7000	7924
100	6750	8089
100	6500	8224
100	6250	8142
100	6000	8190
100	5750	8452
100	5500	8621
100	5250	8813
100	5000	9066
100	4750	9165
100	4500	9248
100	4250	9603
100	4000	9996
100	3750	9920
100	3500	10167
100	3250	10391
100	3000	10304
100	2750	10963
100	2500	10604
100	2250	10537
100	2000	10545
100	1750	10247
100	1500	10009
100	1250	9467
100	1000	8961
100	750	7846
100	500	7668
100	250	6436
100	100	4274
